path,label
/shared/u/xiangruz/classification/experimental/Noble/images/72/304.png,1
/shared/u/xiangruz/classification/experimental/Noble/images/33/77.png,4
/shared/u/xiangruz/classification/experimental/Noble/images/31/293.png,0
/shared/u/xiangruz/classification/experimental/Noble/images/73/255.png,5
/shared/u/xiangruz/classification/experimental/Noble/images/73/69.png,5
/shared/u/xiangruz/classification/experimental/Noble/images/73/199.png,5
/shared/u/xiangruz/classification/experimental/Noble/images/69/110.png,6
/shared/u/xiangruz/classification/experimental/Noble/images/33/355.png,4
/shared/u/xiangruz/classification/experimental/Noble/images/35/84.png,3
/shared/u/xiangruz/classification/experimental/Noble/images/69/375.png,6
/shared/u/xiangruz/classification/experimental/Noble/images/73/238.png,5
/shared/u/xiangruz/classification/experimental/Noble/images/33/230.png,4
/shared/u/xiangruz/classification/experimental/Noble/images/31/190.png,0
/shared/u/xiangruz/classification/experimental/Noble/images/31/119.png,0
/shared/u/xiangruz/classification/experimental/Noble/images/35/313.png,3
/shared/u/xiangruz/classification/experimental/Noble/images/73/55.png,5
/shared/u/xiangruz/classification/experimental/Noble/images/33/2.png,4
/shared/u/xiangruz/classification/experimental/Noble/images/33/57.png,4
/shared/u/xiangruz/classification/experimental/Noble/images/31/326.png,0
/shared/u/xiangruz/classification/experimental/Noble/images/35/2.png,3
/shared/u/xiangruz/classification/experimental/Noble/images/31/107.png,0
/shared/u/xiangruz/classification/experimental/Noble/images/72/329.png,1
/shared/u/xiangruz/classification/experimental/Noble/images/43/233.png,2
/shared/u/xiangruz/classification/experimental/Noble/images/35/192.png,3
/shared/u/xiangruz/classification/experimental/Noble/images/35/220.png,3
/shared/u/xiangruz/classification/experimental/Noble/images/69/193.png,6
/shared/u/xiangruz/classification/experimental/Noble/images/69/47.png,6
/shared/u/xiangruz/classification/experimental/Noble/images/43/166.png,2
/shared/u/xiangruz/classification/experimental/Noble/images/69/121.png,6
/shared/u/xiangruz/classification/experimental/Noble/images/72/171.png,1
/shared/u/xiangruz/classification/experimental/Noble/images/72/27.png,1
/shared/u/xiangruz/classification/experimental/Noble/images/72/321.png,1
/shared/u/xiangruz/classification/experimental/Noble/images/43/136.png,2
/shared/u/xiangruz/classification/experimental/Noble/images/43/95.png,2
/shared/u/xiangruz/classification/experimental/Noble/images/43/285.png,2
